,# Nodes,# Changes,Time,Iterations
271,540,80,550.689626455307,23619600
272,560,80,606.2998950481415,25401600
273,580,80,668.8403661251068,27248400
274,600,80,735.9441847801208,29160000
275,620,80,799.8552212715149,31136400
276,640,80,874.3374440670013,33177600
277,660,80,948.2575130462646,35283600
278,680,80,1037.9066150188446,37454400
279,700,80,1120.8616812229156,39690000
280,20,90,3.179039239883423,36400
281,40,90,5.572531461715698,145600
282,60,90,8.608708620071411,327600
283,80,90,12.268574714660645,582400
284,100,90,17.992966651916504,910000
285,120,90,21.82707166671753,1310400
286,140,90,28.34171748161316,1783600
287,160,90,36.111119508743286,2329600
288,180,90,44.769779443740845,2948400
289,200,90,56.369856119155884,3640000
290,220,90,69.28442716598511,4404400
291,240,90,88.95812034606934,5241600
292,260,90,101.66201949119568,6151600
293,280,90,126.80710577964783,7134400
294,300,90,146.67279267311096,8190000
295,320,90,170.16973066329956,9318400
296,340,90,200.86057710647583,10519600
297,360,90,222.0134060382843,11793600
298,380,90,251.37077045440674,13140400
299,400,90,287.24036598205566,14560000
300,420,90,326.6779103279114,16052400
301,440,90,366.99217796325684,17617600
302,460,90,404.9944632053375,19255600
303,480,90,454.32418942451477,20966400
304,500,90,511.8753628730774,22750000
305,520,90,567.3927764892578,24606400
306,540,90,621.1692450046539,26535600
307,560,90,685.6088600158691,28537600
308,580,90,750.4980704784393,30612400
309,600,90,828.6384768486023,32760000
310,620,90,905.5526051521301,34980400
311,640,90,990.1983776092529,37273600
312,660,90,1073.312673330307,39639600
313,680,90,1159.358571767807,42078400
314,700,90,1260.8336882591248,44590000
315,20,100,3.5239691734313965,40400
316,40,100,6.872978925704956,161600
317,60,100,9.504406690597534,363600
318,80,100,13.577327728271484,646400
319,100,100,18.44221806526184,1010000
320,120,100,24.17459464073181,1454400
321,140,100,31.218735694885254,1979600
322,160,100,39.92663931846619,2585600
323,180,100,50.0350615978241,3272400
324,200,100,61.399449825286865,4040000
325,220,100,75.77832055091858,4888400
326,240,100,91.95201110839844,5817600
327,260,100,111.42415833473206,6827600
328,280,100,132.21088814735413,7918400
329,300,100,155.48062586784363,9090000
330,320,100,182.27336192131042,10342400
331,340,100,209.87363815307617,11675600
332,360,100,241.91956782341003,13089600
333,380,100,278.14622950553894,14584400
334,400,100,315.7925236225128,16160000
335,420,100,360.4939811229706,17816400
336,440,100,401.2551610469818,19553600
337,460,100,451.28409481048584,21371600
338,480,100,507.24172019958496,23270400
339,500,100,566.4427664279938,25250000
340,520,100,621.7213287353516,27310400
341,540,100,684.370450258255,29451600
342,560,100,763.4308710098267,31673600
343,580,100,832.4871535301208,33976400
344,600,100,923.2670528888702,36360000
345,620,100,1001.4713549613953,38824400
346,640,100,1104.8697333335876,41369600
347,660,100,1186.2311334609985,43995600
348,680,100,1308.411298751831,46702400
349,700,100,1390.4040875434875,49490000
